CODIGO CIUDAD ORIGEN;Ciudad Origen;ZONA DESTINO;Pais Destino;CODIGO CIUDAD DESTINO ;Ciudad Destino;TIPO DE TRAYECTO;FLETE X UNID DE PESO ;TIEMPO DE ENTREGA;TRAYECTO EQUIVALENTE. SI NO POSEE, COLOQUE EL MISMO TIPO DE TRAYECTO;REGIONAL ORIGEN;CODIGO DANE REGIONAL ORIGEN
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;5197000;COCORNA(ANTIOQUIA);OTROS DESTINOS;2757;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;25200000;COGUA(CUNDINAMARCA);OTROS DESTINOS;3041;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;41206000;COLOMBIA(HUILA);OTROS DESTINOS;2942;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;86219000;COLON(PUTUMAYO);OTROS DESTINOS;3112;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;15204000;COMBITA(BOYACA);NACIONAL;2900;3;NACIONAL;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;5206000;CONCEPCION(ANTIOQUIA);OTROS DESTINOS;2757;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;50001001;CONCEPCION(META);OTROS DESTINOS;4642;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;68207000;CONCEPCION(SANTANDER);OTROS DESTINOS;2863;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;5209000;CONCORDIA(ANTIOQUIA);OTROS DESTINOS;2863;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;47205000;CONCORDIA(MAGDALENA);ZONAL;2972;3;ZONAL;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;27205000;CONDOTO(CHOCO);OTROS DESTINOS;2863;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;52207000;CONSACA(NARINO);OTROS DESTINOS;3112;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;52210000;CONTADERO(NARINO);OTROS DESTINOS;2942;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;68211000;CONTRATACION(SANTANDER);OTROS DESTINOS;2757;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;54206000;CONVENCION(NORTE DE SANTANDER);OTROS DESTINOS;3112;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;0;CONVENIO(TOLIMA);OTROS DESTINOS;2769;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;5212000;COPACABANA(ANTIOQUIA);NACIONAL;976000;3;NACIONAL;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;15212000;COPER(BOYACA);OTROS DESTINOS;3406;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;52215000;CORDOBA(NARINO);OTROS DESTINOS;3112;8;OTROS DESTINOS;;
13001000;CARTAGENA DE INDIAS(BOLIVAR);;colombia;63212000;CORDOBA(QUINDIO);OTROS DESTINOS;2874;8;OTROS DESTINOS;;
